customer id,Credit history,Purpose,Credit amount,Installment rate ,guarantors,Other installment plans,Number of existing credits ,liable to provide maintenance 
AG-1090058,existing credits paid back duly till now, New Car,7472,1,none,none,1,1
LH-17155118,existing credits paid back duly till now, New Car,9271,2,none,none,1,1
KB-1624058,existing credits paid back duly till now,radio/television,590,3,none,none,1,1
KA-1652539,critical account,radio/television,930,4,none,none,4,1
BM-111407,all credits at this bank paid back duly,Used Car,9283,1,none,Bank,1,1
JL-1517559,all credits paid back duly, New Car,1778,2,none,none,2,1
EM-396086,existing credits paid back duly till now,business,907,3,none,none,1,1
AS-1022511,existing credits paid back duly till now,radio/television,484,3,guarantor,Bank,1,1
SC-2023058,critical account,Used Car,9629,4,none,none,2,1
JD-1579059,existing credits paid back duly till now,domestic appliances,3051,3,none,none,1,1
JL-1585048,existing credits paid back duly till now, New Car,3931,4,none,none,1,2
JW-1607592,delay in paying off in the past, New Car,7432,2,none,none,1,1
LL-684033,existing credits paid back duly till now,domestic appliances,1338,1,none,none,1,1
TH-2110045,critical account,radio/television,1554,1,none,none,2,1
MC-1727545,existing credits paid back duly till now,Others,15857,2,co-applicant,none,1,1
NG-8430108,existing credits paid back duly till now,radio/television,1345,4,none,Bank,1,1
KD-1661545,existing credits paid back duly till now, New Car,1101,3,none,none,2,1
MC-1760536,existing credits paid back duly till now,radio/television,3016,3,none,none,1,1
AS-22523,existing credits paid back duly till now,furniture/equipment,2712,2,none,Bank,1,2
JK-1562539,critical account, New Car,731,4,none,none,2,1
BD-1150059,critical account,furniture/equipment,3780,3,none,none,2,1
CP-1208527,critical account, New Car,1602,4,none,none,2,1
AS-102251406,critical account, New Car,3966,1,none,Bank,3,1
KN-1645082,all credits paid back duly,business,4165,2,none,stores,2,2
TM-2149059,existing credits paid back duly till now,Used Car,8335,3,none,none,1,1
TS-115053,delay in paying off in the past,business,6681,4,none,none,1,2
LD-6855117,delay in paying off in the past,business,2375,4,none,none,2,2
LP-170807,existing credits paid back duly till now, New Car,1216,4,none,none,1,1
KA-1652548,all credits paid back duly,business,11816,2,none,none,2,1
DK-1315039,existing credits paid back duly till now,radio/television,5084,2,none,none,1,1
KD-1649545,existing credits paid back duly till now,radio/television,2327,2,none,none,1,1
BB-115457,all credits paid back duly, New Car,1082,4,none,Bank,2,1
BN-1147078,existing credits paid back duly till now,radio/television,886,4,none,none,1,1
CV-1280566,existing credits paid back duly till now,furniture/equipment,601,1,none,none,1,2
CM-1193531,critical account,Used Car,2957,4,none,none,2,1
SK-1999082,critical account,radio/television,2611,4,co-applicant,none,2,1
BE-11410139,existing credits paid back duly till now,furniture/equipment,5179,4,none,none,1,1
KM-1672048,delay in paying off in the past,Used Car,2993,3,none,stores,2,1
TB-215205,existing credits paid back duly till now,repairs,1943,4,none,none,1,1
JC-1610514,all credits at this bank paid back duly,business,1559,4,none,Bank,1,1
MO-1750048,existing credits paid back duly till now,furniture/equipment,3422,4,none,Bank,3,2
MS-175307,existing credits paid back duly till now,furniture/equipment,3976,2,none,none,1,1
GA-145157,existing credits paid back duly till now, New Car,6761,2,none,none,2,1
CS-123557,existing credits paid back duly till now, New Car,1249,4,none,none,1,1
SW-202458,existing credits paid back duly till now,radio/television,1364,3,none,none,1,1
CP-208560,existing credits paid back duly till now,radio/television,709,4,none,stores,1,1
PF-1916545,critical account, New Car,2235,4,guarantor,Bank,2,1
BS-1138045,critical account,Used Car,4042,3,none,none,2,1
GM-1450093,critical account,radio/television,1471,4,none,none,2,1
AS-102401408,all credits at this bank paid back duly, New Car,1442,4,none,none,2,2
CC-1247518,delay in paying off in the past, New Car,10875,2,none,none,2,2
VF-21715120,existing credits paid back duly till now, New Car,1474,4,none,none,1,1
HG-1496566,existing credits paid back duly till now,retraining,894,4,none,none,1,1
CC-267071,critical account,furniture/equipment,3343,4,none,none,1,1
KM-163757,existing credits paid back duly till now, New Car,3959,3,none,none,1,1
HR-148307,existing credits paid back duly till now, New Car,3577,1,guarantor,none,1,2
ED-1388527,critical account,Used Car,5804,4,none,none,2,1
TB-21520120,delay in paying off in the past,business,2169,4,none,none,1,1
MW-1822027,existing credits paid back duly till now,radio/television,2439,4,none,none,1,1
RH-960038,critical account,furniture/equipment,4526,4,none,stores,2,2
SB-202907,existing credits paid back duly till now,furniture/equipment,2210,2,none,Bank,1,1
MN-1793527,existing credits paid back duly till now,furniture/equipment,2221,2,none,none,1,1
RP-19390102,existing credits paid back duly till now,radio/television,2389,4,none,stores,1,1
LB-1679558,critical account,furniture/equipment,3331,2,none,stores,1,1
PK-1891082,existing credits paid back duly till now,business,7409,3,none,none,2,1
LS-1694559,existing credits paid back duly till now,furniture/equipment,652,4,none,none,1,1
JK-1573064,delay in paying off in the past,furniture/equipment,7678,2,none,none,2,1
AS-102401404,critical account, New Car,1343,1,none,none,2,2
BT-113957,critical account,business,1382,4,none,none,2,1
AS-102401406,existing credits paid back duly till now,domestic appliances,874,4,none,none,1,1
MC-1810045,existing credits paid back duly till now,furniture/equipment,3590,2,co-applicant,none,1,2
NZ-18565139,critical account, New Car,1322,4,none,none,2,1
NF-18385124,all credits at this bank paid back duly,radio/television,1940,3,co-applicant,Bank,1,1
SS-2041091,existing credits paid back duly till now,radio/television,3595,4,none,none,1,1
EH-1394564,existing credits paid back duly till now, New Car,1422,3,none,none,1,1
CS-1184511,critical account,radio/television,6742,2,none,none,2,1
JM-161957,existing credits paid back duly till now,Used Car,7814,3,none,none,1,1
MG-1789027,existing credits paid back duly till now,Used Car,9277,2,none,none,1,1
PL-1892545,critical account, New Car,2181,4,none,none,2,1
MA-1799548,critical account,radio/television,1098,4,none,none,2,1
SP-2065059,existing credits paid back duly till now,furniture/equipment,4057,3,none,none,1,1
RW-1969058,existing credits paid back duly till now,education,795,4,none,none,1,1
AH-1007559,critical account,business,2825,4,none,none,2,2
JH-1543082,existing credits paid back duly till now,business,15672,2,none,none,1,1
PO-1885045,critical account, New Car,6614,4,none,none,2,1
KB-1631545,all credits at this bank paid back duly,Used Car,7824,3,guarantor,Bank,2,2
ZC-2191064,critical account,business,2442,4,none,stores,4,2
ML-1775545,critical account,radio/television,1829,4,none,none,2,1
CD-1279045,critical account, New Car,2171,4,none,Bank,2,1
PC-18745102,critical account,Used Car,5800,3,none,none,2,1
KE-1642018,critical account,radio/television,1169,4,none,none,2,1
EM-420086,delay in paying off in the past,Used Car,8947,3,none,stores,1,2
DW-134807,existing credits paid back duly till now,radio/television,2606,4,none,none,1,1
SC-10680134,critical account,furniture/equipment,1592,3,none,none,1,1
JG-1580527,existing credits paid back duly till now,furniture/equipment,2186,1,none,Bank,1,1
PV-898522,existing credits paid back duly till now,furniture/equipment,4153,2,co-applicant,none,1,1
AS-24023,critical account, New Car,2625,2,guarantor,Bank,1,1
RS-197658,critical account, New Car,3485,2,none,none,2,1
SH-199757,critical account,Used Car,10477,2,none,none,2,1
SB-201707,existing credits paid back duly till now,radio/television,1386,4,none,none,1,1
JF-541549,existing credits paid back duly till now,radio/television,1278,4,none,none,1,1
DK-1298518,existing credits paid back duly till now,radio/television,1107,2,none,none,1,2
GA-1472527,existing credits paid back duly till now, New Car,3763,2,co-applicant,none,1,1
XP-218657,existing credits paid back duly till now,education,3711,2,none,none,1,1
GT-475533,delay in paying off in the past,Used Car,3594,1,none,none,2,1
HA-1492016,existing credits paid back duly till now, New Car,3195,1,none,none,1,1
JF-15295139,delay in paying off in the past,radio/television,4454,4,none,none,2,1
PR-1888082,critical account,furniture/equipment,4736,2,none,Bank,1,1
AW-1084048,existing credits paid back duly till now,radio/television,2991,2,none,none,1,1
AG-1067555,existing credits paid back duly till now,business,2142,1,none,none,1,1
CJ-1187527,all credits at this bank paid back duly,business,3161,4,none,none,1,1
AG-1076558,all credits paid back duly,Others,18424,1,none,Bank,1,1
SE-2011048,existing credits paid back duly till now,Used Car,2848,1,co-applicant,none,1,2
DM-130157,existing credits paid back duly till now, New Car,14896,1,none,Bank,1,1
AB-102551404,existing credits paid back duly till now,furniture/equipment,2359,1,none,none,1,1
VP-2173026,existing credits paid back duly till now,furniture/equipment,3345,4,none,none,1,1
JB-1604526,critical account,furniture/equipment,1817,4,none,none,2,1
MD-1786059,delay in paying off in the past,radio/television,12749,4,none,none,1,1
JM-558069,existing credits paid back duly till now,radio/television,1366,3,none,none,1,1
SC-203057,existing credits paid back duly till now, New Car,2002,3,none,none,1,2
JO-1528058,all credits at this bank paid back duly,furniture/equipment,6872,2,none,Bank,1,1
AB-25523,all credits at this bank paid back duly, New Car,697,4,none,Bank,2,1
EM-1414039,critical account,furniture/equipment,1049,4,none,none,1,1
PO-1918011,existing credits paid back duly till now,Used Car,10297,4,none,stores,3,2
AB-102551406,existing credits paid back duly till now,radio/television,1867,4,none,none,1,1
AB-102551402,delay in paying off in the past, New Car,1344,4,none,none,2,2
MG-1769527,existing credits paid back duly till now,furniture/equipment,1747,4,co-applicant,none,1,1
AP-1072092,existing credits paid back duly till now,radio/television,1670,4,none,none,1,1
SE-2011064,critical account, New Car,1224,3,none,none,2,1
JK-1532582,critical account,radio/television,522,4,none,none,2,2
RK-1930082,existing credits paid back duly till now,radio/television,1498,4,none,Bank,1,1
EJ-1415531,delay in paying off in the past,radio/television,1919,4,none,stores,2,1
JB-1600064,existing credits paid back duly till now,radio/television,745,3,none,none,1,1
AF-1087027,existing credits paid back duly till now,radio/television,2063,4,none,none,1,1
AF-1087058,existing credits paid back duly till now,education,6288,4,none,none,1,1
GM-144551,critical account,Used Car,6842,2,none,none,2,2
TP-21130144,existing credits paid back duly till now, New Car,3527,2,none,none,1,2
MT-1781527,existing credits paid back duly till now, New Car,1546,3,none,none,1,2
SM-209057,existing credits paid back duly till now,furniture/equipment,929,4,none,stores,1,1
DW-135407,critical account, New Car,1455,2,none,none,3,2
BO-142579,existing credits paid back duly till now,furniture/equipment,1845,4,guarantor,none,1,1
AB-102551408,all credits paid back duly, New Car,8358,1,none,none,2,1
CM-1193518,all credits at this bank paid back duly,furniture/equipment,3349,4,none,none,1,2
AW-10930139,existing credits paid back duly till now, New Car,2859,4,none,none,1,1
DK-1283536,existing credits paid back duly till now,furniture/equipment,1533,4,co-applicant,none,1,2
CM-122357,existing credits paid back duly till now,radio/television,3621,2,none,none,2,1
AF-1088564,critical account,business,3590,3,none,none,3,2
MP-1747048,delay in paying off in the past,business,2145,2,none,none,2,1
OT-18730120,existing credits paid back duly till now,Used Car,4113,3,none,none,1,1
ON-1871582,existing credits paid back duly till now,furniture/equipment,10974,4,none,none,2,1
JP-1546059,existing credits paid back duly till now, New Car,1893,4,guarantor,none,1,1
AS-102407,critical account,radio/television,1231,4,none,none,2,1
TB-11625134,critical account,radio/television,3656,4,none,stores,2,1
JP-5520129,critical account,radio/television,1154,2,none,none,3,1
DB-1340582,existing credits paid back duly till now, New Car,4006,3,none,none,1,1
JD-161507,existing credits paid back duly till now,furniture/equipment,3069,4,none,none,1,1
BD-1177045,critical account,radio/television,1740,2,none,none,2,1
BD-116357,delay in paying off in the past, New Car,2353,1,none,none,2,1
GR-1456045,existing credits paid back duly till now, New Car,3556,3,none,none,1,1
CC-2370108,existing credits paid back duly till now,radio/television,2397,3,none,Bank,2,1
GM-1469527,existing credits paid back duly till now,repairs,454,3,none,none,1,1
PO-8850117,existing credits paid back duly till now,radio/television,1715,4,none,none,1,1
ND-18370139,critical account,radio/television,2520,4,none,none,2,1
TZ-2144527,existing credits paid back duly till now,radio/television,3568,4,none,Bank,1,1
BT-1139564,existing credits paid back duly till now,radio/television,7166,2,none,none,1,1
JE-1547566,critical account, New Car,3939,1,none,none,2,2
RB-1943559,existing credits paid back duly till now,repairs,1514,4,guarantor,none,1,1
AI-108557,existing credits paid back duly till now, New Car,7393,1,none,none,1,2
MH-1744027,all credits at this bank paid back duly, New Car,1193,1,co-applicant,none,2,1
DB-13210120,existing credits paid back duly till now,business,7297,4,co-applicant,none,1,1
NM-1852082,critical account,radio/television,2831,4,none,none,1,1
JE-616574,existing credits paid back duly till now,radio/television,1258,3,none,none,1,1
Dl-13600130,existing credits paid back duly till now,radio/television,753,2,guarantor,none,1,1
AH-1021051,delay in paying off in the past,business,2427,4,none,none,2,1
DS-1318093,delay in paying off in the past, New Car,2538,4,none,none,2,2
DV-1304582,all credits at this bank paid back duly, New Car,1264,2,none,none,1,1
DK-1315031,critical account,furniture/equipment,8386,2,none,none,1,1
AC-10660144,existing credits paid back duly till now,business,4844,3,none,Bank,1,1
CC-1243082,existing credits paid back duly till now, New Car,2923,1,none,Bank,1,1
NG-1835531,existing credits paid back duly till now,Used Car,8229,2,none,none,1,2
KE-1642031,critical account,furniture/equipment,2028,2,none,none,2,1
SJ-202158,critical account,furniture/equipment,1433,4,none,none,2,1
AR-1082545,all credits paid back duly,business,6289,2,none,none,2,1
BM-1178558,existing credits paid back duly till now,radio/television,1409,2,none,none,1,1
JH-1582045,existing credits paid back duly till now,Used Car,6579,4,none,none,1,1
AA-1048059,critical account,radio/television,1743,4,none,none,2,1
RC-19825139,critical account,education,3565,2,none,none,2,2
MO-17800113,all credits at this bank paid back duly,radio/television,1569,4,none,Bank,1,2
JD-1601551,existing credits paid back duly till now,radio/television,1936,2,none,none,2,1
MY-182957,existing credits paid back duly till now,furniture/equipment,3959,4,none,none,1,1
EH-14005139,existing credits paid back duly till now, New Car,2390,4,none,none,1,1
AF-1088582,existing credits paid back duly till now,furniture/equipment,1736,3,none,none,1,1
JH-5910117,existing credits paid back duly till now,Used Car,3857,4,none,none,1,1
SC-10695117,existing credits paid back duly till now,radio/television,804,4,none,none,1,1
DJ-1342064,existing credits paid back duly till now,radio/television,1845,4,none,none,1,1
AG-102701402,critical account,Used Car,4576,3,none,none,1,1
